Week,Owner,Punter,Team,Punts,Punt Yards,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Returns,Return Yards,Holds,Misses
2,Free Agent,R.Quigley,MIN,6,264,0,0,3,1,2,0,0,3,0,0,0,2,-1,1,1
2,Free Agent,B.Anger,TB,3,146,0,0,1,0,2,0,0,1,0,0,0,2,10,5,0
2,Free Agent,P.O'Donnell,CHI,3,168,0,1,0,0,3,1,0,1,1,0,0,1,17,1,0
2,Free Agent,D.Kaser,LAC,4,170,0,0,0,0,1,0,0,3,0,0,0,3,21,3,2
2,Free Agent,M.Haack,MIA,3,130,0,1,0,1,2,0,0,0,0,0,0,1,23,5,0
2,Looney,M.King,OAK,3,166,0,0,1,0,2,1,0,2,0,0,0,2,11,7,0
2,Levine,L.Edwards,NYJ,3,119,0,0,1,1,1,0,0,2,0,0,0,1,13,4,0
2,Free Agent,C.Jones,DAL,5,249,0,1,0,2,3,1,0,2,1,0,0,3,22,3,0
2,Free Agent,R.Dixon,DEN,3,129,0,0,0,1,0,0,0,1,0,0,0,1,19,5,1
2,Ralph,J.Hekker,LA,4,182,0,0,0,1,1,0,0,1,1,0,0,2,13,4,0
2,Free Agent,T.Way,WAS,4,204,0,0,0,0,2,1,0,2,2,0,0,4,24,5,1
2,Free Agent,B.Pinion,SF,7,307,0,0,2,1,1,0,0,4,1,1,0,3,0,3,0
2,Bagley,J.Ryan,SEA,7,309,0,0,3,1,2,0,0,3,1,0,0,3,40,2,1
2,Kane,M.Bosher,ATL,4,165,0,0,3,0,1,0,0,3,0,0,0,0,0,5,0
2,Free Agent,J.Vogel,GB,3,119,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0
2,Free Agent,J.Locke,DET,5,209,0,0,3,0,1,0,0,3,1,0,0,2,9,3,0
2,Hardardt,B.Wing,NYG,5,239,0,0,1,1,2,1,0,0,0,0,0,3,101,2,0
3,Free Agent,B.Pinion,SF,2,83,0,0,1,0,1,0,0,2,0,0,0,1,0,5,1
3,Free Agent,J.Hekker,LA,2,113,0,0,0,0,1,1,0,0,0,0,0,2,9,7,0
